iter	R2	RMSE
0	0.07535885655	149.6159835
1	0.1443079073	143.9296085
2	0.2067273548	138.5806596
3	0.264645599	133.4257746
4	0.3151398797	128.7633668
5	0.3624133549	124.2398707
6	0.4045464393	120.0646981
7	0.4437391178	116.0461255
8	0.4775951453	112.4591992
9	0.510173661	108.8961315
10	0.5394731157	105.5890491
11	0.5655874012	102.5516355
12	0.5900250649	99.62539072
13	0.6114200051	96.99103727
14	0.6316932135	94.42701159
15	0.6500862717	92.03899664
16	0.6672227698	89.75697058
17	0.6828265814	87.62736983
18	0.6972507923	85.61165494
19	0.7104675897	83.72207387
20	0.722320753	81.9904172
21	0.7332750794	80.35690144
22	0.7431703016	78.85223466
23	0.7520343432	77.4795612
24	0.7601500796	76.20108832
25	0.7679134724	74.95771691
26	0.7750738573	73.79235194
27	0.7813403518	72.75715477
28	0.7871189617	71.78932579
29	0.7924532449	70.88418634
30	0.7975860398	70.00218818
31	0.8023540096	69.17280531
32	0.8068300416	68.38505143
33	0.8108880478	67.66294147
34	0.8148544221	66.94961078
35	0.8184468848	66.29690241
36	0.8218785764	65.66734589
37	0.8248284499	65.12131644
38	0.8279108708	64.54581713
39	0.8310328922	63.95764586
40	0.8338180812	63.42832887
41	0.8362084103	62.9705061
42	0.8387453921	62.48092515
43	0.8410290258	62.03693068
44	0.8431087517	61.62979795
45	0.8449195494	61.27310828
46	0.8467369896	60.91301
47	0.8483815663	60.58531744
48	0.8499538085	60.27037214
49	0.8513336312	59.99260934
50	0.8525729081	59.74203806
51	0.8538170026	59.48943115
52	0.8549329502	59.26192769
53	0.8562238676	58.99765951
54	0.8572159418	58.79376137
55	0.8583727435	58.55511066
56	0.8594591822	58.33008682
57	0.860422249	58.12988757
58	0.8612786763	57.9512752
59	0.8620283768	57.79446816
60	0.862747445	57.6436674
61	0.8636927769	57.44481298
62	0.8643770774	57.30043701
63	0.8650302165	57.16229545
64	0.8657661901	57.00623295
65	0.866633501	56.82177028
66	0.8673244668	56.67438363
67	0.8680702146	56.51488039
68	0.8685764244	56.40635341
69	0.8690714397	56.30002413
70	0.8695143918	56.20470748
71	0.8702012897	56.05657682
72	0.8707688796	55.93387913
73	0.871202664	55.83992482
74	0.8717940352	55.71158321
75	0.8722933469	55.60299004
76	0.8727379736	55.50611126
77	0.8731326705	55.41996969
78	0.8735465054	55.32950728
79	0.8741537823	55.19649091
80	0.8744698667	55.12712957
81	0.8749665508	55.01796095
82	0.8754563193	54.91009979
83	0.8757935229	54.8357145
84	0.8761261932	54.76223024
85	0.8766033582	54.65665574
86	0.8770532844	54.55692077
87	0.8775209937	54.4530502
88	0.8781269879	54.3181734
89	0.878442188	54.24788639
90	0.8787190191	54.18608017
91	0.8790257879	54.11750749
92	0.8797196057	53.96209552
93	0.8800596685	53.88575933
94	0.880599589	53.76433712
95	0.8810296499	53.66742456
96	0.8812670246	53.61385808
97	0.8816009497	53.53841308
98	0.8821601892	53.41182324
99	0.882344808	53.36996687
100	0.8825914899	53.31398842
101	0.8830274748	53.21490822
102	0.883242801	53.16590594
103	0.8835300046	53.10047597
104	0.8838798889	53.02065713
105	0.8841665391	52.9551742
106	0.8846375322	52.84740342
107	0.8848455018	52.79974661
108	0.8852723544	52.70179718
109	0.8856799098	52.60810568
110	0.885933499	52.54972464
111	0.8861483515	52.5002107
112	0.8863537326	52.45283582
113	0.8865272292	52.4127823
114	0.886820083	52.34510441
115	0.8873918975	52.2127064
116	0.8875360924	52.17926644
117	0.8879151509	52.09125737
118	0.8881845676	52.0286142
119	0.8884743169	51.96115916
120	0.8888371464	51.87656697
121	0.8891861783	51.79506128
122	0.8895703734	51.70519575
123	0.8898775981	51.63322151
124	0.8903144276	51.53071136
125	0.8904979557	51.4875822
126	0.8908731842	51.39929075
127	0.8910783581	51.35094905
128	0.89138175	51.27938234
129	0.8918039363	51.17962686
130	0.8920879058	51.11242016
131	0.8923005369	51.06203911
132	0.8925410032	51.00500278
133	0.8927428721	50.95707213
134	0.8929307046	50.91243365
135	0.8933555876	50.81131535
136	0.8937305505	50.72191014
137	0.8940687639	50.64113197
138	0.8944866127	50.54115559
139	0.8946969905	50.49074472
140	0.8949345	50.43377198
141	0.8952060067	50.36856521
142	0.8954611467	50.30721214
143	0.8955768029	50.27937582
144	0.8957682161	50.23327232
145	0.8961578138	50.13930343
146	0.8964386489	50.07145813
147	0.8967240591	50.00241323
148	0.8970576692	49.92158703
149	0.8972201192	49.88218166
150	0.8976104836	49.78736371
151	0.8978629085	49.72595448
152	0.8980337859	49.68434081
153	0.8981436894	49.65755763
154	0.8983956537	49.59610009
155	0.8986732912	49.52829219
156	0.8988032189	49.4965278
157	0.8990029428	49.44766001
158	0.8992703862	49.38214715
159	0.8995476439	49.31413826
160	0.8997841456	49.25605227
161	0.8999755156	49.20900066
162	0.9001341137	49.16997247
163	0.9004940296	49.08128838
164	0.9007504279	49.0180134
165	0.900999923	48.95636353
166	0.9012652356	48.89071986
167	0.9014384677	48.84781118
168	0.9015544743	48.81905584
169	0.9017047997	48.78176848
170	0.9019620194	48.7179004
171	0.902116742	48.67944216
172	0.9023383516	48.62430533
173	0.9025595908	48.56919823
174	0.9028196939	48.50433069
175	0.9031958135	48.41037586
176	0.9034480656	48.34726092
177	0.9037168454	48.27991982
178	0.9038181633	48.25451088
179	0.9039859785	48.21239599
180	0.9042169368	48.15437448
181	0.9043609159	48.11816854
182	0.9046524837	48.04476539
183	0.9048080674	48.00555078
184	0.904913663	47.97891732
185	0.9051009406	47.9316455
186	0.9053648839	47.86494281
187	0.9054974407	47.83140851
188	0.9056823642	47.7845871
189	0.9058715987	47.73662667
190	0.9060195621	47.69909256
191	0.9063346841	47.61905645
192	0.906607642	47.54962051
193	0.9067410324	47.5156513
194	0.9068687916	47.48309335
195	0.9070997698	47.42417448
196	0.9072457196	47.38690725
197	0.9074284425	47.34020891
198	0.9076121096	47.2932228
199	0.9078414753	47.23448034
200	0.9079741427	47.20046973
201	0.9081076775	47.16621202
202	0.9082329247	47.13405779
203	0.9084999543	47.06543102
204	0.9087271439	47.00696426
205	0.9088727456	46.96945571
206	0.9089993497	46.93681677
207	0.9091534679	46.89705396
208	0.9092358396	46.87578806
209	0.9095374226	46.79784595
210	0.9098019001	46.72938649
211	0.9099979748	46.67856814
212	0.9102036317	46.6252068
213	0.9104928462	46.55006142
214	0.9106468555	46.50999631
215	0.9108571897	46.45522262
216	0.9110485427	46.40533568
217	0.9113144721	46.33591704
218	0.911408648	46.31130825
219	0.9116122468	46.2580618
220	0.9117048017	46.23383598
221	0.9119370232	46.17299711
222	0.9121236246	46.12405193
223	0.912341051	46.06695582
224	0.9125913017	46.00115235
225	0.9126999785	45.97254644
226	0.9128910683	45.92220453
227	0.9130194713	45.88834623
228	0.9132199702	45.83542706
229	0.913446918	45.77545324
230	0.9136213951	45.729292
231	0.9138515662	45.66832445
232	0.9140444693	45.61716568
233	0.9142374804	45.56592076
234	0.9144242873	45.51626812
235	0.9147017357	45.44242319
236	0.9149344434	45.38039363
237	0.9151173527	45.33157856
238	0.915262429	45.292823
239	0.9154432479	45.24447271
240	0.9155859309	45.20628333
241	0.9157289444	45.16797306
242	0.9158643369	45.13167434
243	0.9160137672	45.09157816
244	0.9161790202	45.04719477
245	0.9163304116	45.0064959
246	0.9165441336	44.94897781
247	0.9167150857	44.90291718
248	0.9168411684	44.86891566
249	0.916961848	44.83634709
250	0.9171820664	44.7768543
251	0.9173419334	44.73361609
252	0.9175543455	44.67610158
253	0.9177753687	44.61617677
254	0.917938583	44.57187366
255	0.9181149038	44.52396335
256	0.9182618862	44.4839855
257	0.9184240318	44.43984169
258	0.9186482495	44.37872656
259	0.9188156787	44.33303532
260	0.918993979	44.28432557
261	0.9192009038	44.22772863
262	0.9193034111	44.19966456
263	0.9195209069	44.14006025
264	0.919707098	44.08897093
265	0.9199053997	44.03449337
266	0.9200905929	43.98355605
267	0.9202835926	43.93040871
268	0.9204425819	43.88657865
269	0.9206172628	43.8383722
270	0.9207558198	43.80009709
271	0.9208865578	43.7639512
272	0.9210333234	43.72333849
273	0.9211645533	43.6869928
274	0.9212798709	43.65502925
275	0.921462292	43.6044182
276	0.9217040964	43.53724112
277	0.9218582984	43.49434718
278	0.9219741846	43.4620836
279	0.9221611867	43.40997021
280	0.9223239803	43.36455224
281	0.9225421663	43.30360554
282	0.9226760288	43.26617075
283	0.9227850389	43.23566203
284	0.9229494727	43.18960106
285	0.9230916551	43.14973347
286	0.9232600877	43.10245768
287	0.923400228	43.06308342
288	0.9235221092	43.02881003
289	0.9237152147	42.97445214
290	0.9238896866	42.92528032
291	0.9240261171	42.88679051
292	0.9241425788	42.85390692
293	0.9242842487	42.81387166
294	0.9244132298	42.77738959
295	0.9246029849	42.72366108
296	0.9247423824	42.68414807
297	0.9248967846	42.64033913
298	0.9250859265	42.58661201
299	0.925231549	42.54520066
300	0.9253628259	42.50783427
301	0.9254815139	42.47402285
302	0.9255926765	42.44233082
303	0.9257400047	42.4002916
304	0.9258513879	42.3684814
305	0.9259615669	42.33699157
306	0.9261734796	42.27635973
307	0.9263482482	42.22628993
308	0.926465737	42.19259694
309	0.9265767344	42.16074077
310	0.9266804801	42.13094409
311	0.9267434534	42.1128473
312	0.9269265164	42.06019585
313	0.9270745813	42.01756207
314	0.9272067304	41.97947455
315	0.9273668538	41.93327798
316	0.9275569668	41.87836307
317	0.9276782973	41.84327858
318	0.927758643	41.82002926
319	0.9279343936	41.76912789
320	0.928051156	41.73527651
321	0.9281871199	41.69582363
322	0.9282937675	41.6648514
323	0.928418976	41.62845934
324	0.928580326	41.58151577
325	0.9286846958	41.55112188
326	0.9288007391	41.51730242
327	0.9289615074	41.47040279
328	0.9290526849	41.44378073
329	0.92916796	41.41009812
330	0.9292605473	41.38302492
331	0.9294077903	41.33993345
332	0.9295455855	41.29956619
333	0.9296737621	41.26198125
334	0.9297571463	41.23751232
335	0.9298421488	41.21255353
336	0.9299361093	41.18494686
337	0.9300692289	41.14580307
338	0.9301504456	41.12190304
339	0.9302600957	41.08961371
340	0.9304074932	41.04616863
341	0.9305275424	41.01075041
342	0.9306376703	40.97823234
343	0.9307807186	40.93595513
344	0.9309371287	40.88967889
345	0.9310546882	40.85486266
346	0.9312061788	40.80995364
347	0.9313179983	40.77677329
348	0.9314913652	40.72527649
349	0.9315735902	40.70082964
350	0.9316911609	40.66584838
351	0.9317590866	40.64562448
352	0.9318918616	40.60606352
353	0.9319752059	40.58121099
354	0.9321093204	40.54118724
355	0.9322409357	40.50187088
356	0.9323440088	40.47105402
357	0.9325037138	40.42325895
358	0.9326137984	40.39028088
359	0.9327157883	40.35970368
360	0.9328539958	40.31823124
361	0.9329405632	40.29223289
362	0.9330680166	40.2539249
363	0.9332071063	40.21207782
364	0.9333340837	40.1738368
365	0.9334514947	40.13844446
366	0.9335613028	40.10531563
367	0.9336874032	40.0672377
368	0.9337926496	40.03542919
369	0.9339013189	40.00255967
370	0.9340315017	39.96314731
371	0.9341145143	39.93799521
372	0.9341921751	39.91445035
373	0.934325747	39.87392207
374	0.9344231119	39.84435369
375	0.9345621613	39.80208824
376	0.9346569687	39.77324482
377	0.934810315	39.72654773
378	0.9348966555	39.70023108
379	0.9349849272	39.67330777
380	0.9351205993	39.63189144
381	0.9352295545	39.59859954
382	0.935370293	39.55555462
383	0.9355060989	39.51397388
384	0.9356205202	39.47890662
385	0.9357030125	39.45360548
386	0.9358103991	39.42064467
387	0.9358881596	39.39675998
388	0.9360261835	39.35432927
389	0.9361018478	39.33104944
390	0.93619004	39.30389771
391	0.9362742085	39.27796727
392	0.9364032891	39.23816712
393	0.9364815793	39.21400775
394	0.9365848991	39.18210179
395	0.9366810054	39.15240009
396	0.9367935602	39.11758628
397	0.9369031592	39.08365692
398	0.9370381939	39.0418127
399	0.9371208333	39.01618246
400	0.9372258577	38.98358531
401	0.9373064788	38.95854386
402	0.9374121664	38.92569222
403	0.9375031896	38.89737658
404	0.9375990208	38.86754294
405	0.9376805295	38.8421501
406	0.937812758	38.80092086
407	0.9378826019	38.77912565
408	0.9379453646	38.75952973
409	0.9380445178	38.72855162
410	0.9381224237	38.70419437
411	0.938218704	38.67407115
412	0.938312128	38.64481916
413	0.938381175	38.62318559
414	0.9384691006	38.5956195
