iter	Passed	Remaining
0	188	188228
1	212	106224
2	228	75789
3	240	59868
4	252	50299
5	265	44032
6	278	39475
7	290	36011
8	302	33349
9	314	31179
10	327	29400
11	338	27878
12	351	26654
13	363	25608
14	376	24690
15	388	23911
16	403	23317
17	418	22856
18	431	22295
19	444	21778
20	457	21306
21	469	20856
22	481	20451
23	493	20062
24	505	19723
25	518	19412
26	530	19118
27	543	18857
28	556	18641
29	570	18459
30	584	18260
31	597	18087
32	612	17953
33	625	17778
34	639	17619
35	652	17472
36	665	17320
37	679	17205
38	692	17061
39	705	16931
40	718	16811
41	732	16701
42	746	16610
43	760	16529
44	774	16441
45	787	16338
46	801	16254
47	816	16184
48	829	16098
49	842	16011
50	855	15923
51	868	15841
52	881	15756
53	895	15683
54	907	15595
55	920	15514
56	934	15455
57	947	15385
58	960	15312
59	971	15224
60	984	15157
61	997	15085
62	1009	15016
63	1022	14955
64	1035	14901
65	1049	14852
66	1063	14804
67	1076	14758
68	1088	14692
69	1101	14627
70	1113	14570
71	1125	14511
72	1138	14463
73	1151	14405
74	1163	14355
75	1176	14305
76	1189	14262
77	1203	14221
78	1216	14178
79	1228	14128
80	1240	14076
81	1253	14035
82	1265	13986
83	1277	13926
84	1288	13873
85	1300	13818
86	1312	13772
87	1324	13731
88	1336	13685
89	1348	13634
90	1360	13591
91	1372	13548
92	1385	13507
93	1397	13465
94	1408	13419
95	1421	13382
96	1432	13338
97	1445	13300
98	1457	13267
99	1469	13229
100	1482	13193
101	1493	13151
102	1512	13168
103	1524	13134
104	1541	13141
105	1555	13120
106	1568	13092
107	1583	13074
108	1596	13049
109	1609	13018
110	1622	12997
111	1637	12979
112	1648	12942
113	1661	12909
114	1674	12885
115	1686	12853
116	1699	12823
117	1710	12786
118	1724	12764
119	1737	12743
120	1750	12713
121	1761	12678
122	1775	12661
123	1788	12633
124	1802	12614
125	1814	12589
126	1827	12562
127	1839	12530
128	1852	12506
129	1863	12473
130	1876	12445
131	1889	12423
132	1900	12389
133	1913	12369
134	1926	12344
135	1939	12321
136	1952	12301
137	1965	12278
138	1978	12255
139	1992	12237
140	2003	12206
141	2016	12183
142	2028	12157
143	2041	12137
144	2055	12118
145	2066	12089
146	2079	12064
147	2091	12040
148	2103	12015
149	2117	11997
150	2129	11970
151	2140	11939
152	2151	11911
153	2164	11888
154	2175	11862
155	2187	11833
156	2200	11813
157	2211	11784
158	2223	11761
159	2237	11744
160	2248	11719
161	2261	11696
162	2274	11677
163	2287	11658
164	2299	11635
165	2311	11613
166	2323	11591
167	2335	11564
168	2348	11547
169	2362	11534
170	2377	11523
171	2391	11511
172	2403	11490
173	2416	11472
174	2429	11454
175	2443	11438
176	2455	11417
177	2467	11395
178	2480	11376
179	2491	11348
180	2502	11325
181	2514	11301
182	2523	11267
183	2534	11237
184	2545	11215
185	2558	11196
186	2569	11172
187	2582	11152
188	2593	11128
189	2606	11110
190	2617	11086
191	2629	11066
192	2641	11046
193	2654	11027
194	2666	11006
195	2678	10985
196	2690	10966
